name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,StreetAddress,AddressLocality,AddressRegion,openingHoursSpecification,addressString,geoString,ratingString
Las Palmas,https://www.ubereats.com/mx-en/store/las-palmas/v5YO2F4BRa-ogI7ZpWFjVw,Mexico City,"['Mexican', 'Salads']",,,,19.31913,-99.24505,+525574610628,10020,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '13:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '8:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': 'Mexico City', 'postalCode': '10020', 'addressCountry': 'MX', 'streetAddress': 'Calle Cruz Verde & Calle Cuauhtémoc'}","{'@type': 'GeoCoordinates', 'latitude': 19.31913, 'longitude': -99.24505}",{}
Forno di Casa Parque La Mexicana,https://www.ubereats.com/mx-en/store/forno-di-casa-parque-la-mexicana/ArqkvAKoSGmf91syWrsvxQ,Santa Fe,"['Italian', 'Family Friendly', 'Gourmet', 'Especialidades', 'Premium', 'Allergy Friendly']",4.6,37,$$$$,19.3569701,-99.2711036,+525550881924,05348,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '13:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Fe', 'addressRegion': 'Ciudad de México', 'postalCode': '05348', 'addressCountry': 'MX', 'streetAddress': 'Av. Luis Barragan #505'}","{'@type': 'GeoCoordinates', 'latitude': 19.3569701, 'longitude': -99.2711036}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '37'}"
Juanjo's Kebabs Interlomas,https://www.ubereats.com/mx-en/store/juanjos-kebabs-interlomas/dYrE0U9MSBq2OfqhribArA,Naucalpan de Juárez,"['Kebab', 'Falafel', 'Arabian']",4.7,23,$$,19.4016472,-99.2698264,+525552900328,52787,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Naucalpan de Juárez', 'addressRegion': 'Méx.', 'postalCode': '52787', 'addressCountry': 'MX', 'streetAddress': 'Paseo de la Herradura 5, Bosque de las Palmas'}","{'@type': 'GeoCoordinates', 'latitude': 19.4016472, 'longitude': -99.2698264}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '23'}"
KO'O SUSHI,https://www.ubereats.com/mx-en/store/koo-sushi/n4BE-reHS-m2BSdTZIlm0Q,Coyoacán,"['Japanese', 'Sushi']",,,,19.33659,-99.13248,+525589863646,04410,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '13:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Coyoacán', 'addressRegion': 'DF', 'postalCode': '04410', 'addressCountry': 'MX', 'streetAddress': 'Calle Ricardo Monges López 48, LOCAL 2'}","{'@type': 'GeoCoordinates', 'latitude': 19.33659, 'longitude': -99.13248}",{}
Cocina Abierta Duraznos,https://www.ubereats.com/mx-en/store/cocina-abierta-duraznos/PzfhHF9TTOaC9BecOOgjGg,Ciudad de México,"['Gourmet', 'Burgers', 'Pizza', 'Japanese', 'Especialidades', 'Premium']",4.8,71,$,19.4032359,-99.2425626,+525566094169,11700,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'CDMX', 'postalCode': '11700', 'addressCountry': 'MX', 'streetAddress': 'Bosque de Duraznos 39'}","{'@type': 'GeoCoordinates', 'latitude': 19.4032359, 'longitude': -99.2425626}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '71'}"
Minisuper San Jerónimo.,https://www.ubereats.com/mx-en/store/minisuper-san-jeronimo/EYGpvD0IVwCpSzdSSt-tqA,La Magdalena Contreras,"['Mexican', 'Latin American', 'Fast Food']",,,,19.330357887843615,-99.21265370760014,+525556682988,10200,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'La Magdalena Contreras', 'addressRegion': 'Mexico City', 'postalCode': '10200', 'addressCountry': 'MX', 'streetAddress': 'Avenida San Jerónimo 719'}","{'@type': 'GeoCoordinates', 'latitude': 19.330357887843615, 'longitude': -99.21265370760014}",{}
El Farolito Santa Fé,https://www.ubereats.com/mx-en/store/el-farolito-santa-fe/6KtHfm9hRNu335-UGBMPAw,Ciudad de México,"['Mexican', 'Family Friendly']",4.5,122,$,19.3618707,-99.27144,+525521674071,05109,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'CDMX', 'postalCode': '05109', 'addressCountry': 'MX', 'streetAddress': 'Av. Vasco de Quiroga 3800, Santa Fe, Cuajimalpa'}","{'@type': 'GeoCoordinates', 'latitude': 19.3618707, 'longitude': -99.27144}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '122'}"
Bookadish (Tlalpan),https://www.ubereats.com/mx-en/store/bookadish-tlalpan/VW1oqD1qSFa3pJ03W4H0Eg,,"['Healthy', 'Gourmet', 'Premium', 'Vegetarian', 'Vegan', 'Soul Food', 'Mercado Express', 'Salads', 'Vegan Friendly', 'Soup', 'Gluten Free', 'Vegetarian', 'Gourmet']",,,,19.30103,-99.1532,+525535324505,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '7:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '8:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '12:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '8:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '15:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 19.30103, 'longitude': -99.1532}",{}
El Rincón de Arturo,https://www.ubereats.com/mx-en/store/el-rincon-de-arturo/NjIsyDnKQxyQAf05oT6I9A,Mexico City,"['Mexican', 'Latin American', 'New Mexican']",,,,19.355576,-99.294769,+525543830861,05000,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': '', 'postalCode': '05000', 'addressCountry': 'MX', 'streetAddress': 'Call. Coahuila 159, Col. Cuajimalpa, Del. Alcaldia de Cuajimalpa, LATAM'}","{'@type': 'GeoCoordinates', 'latitude': 19.355576, 'longitude': -99.294769}",{}
Little Caesars (San Bernabé),https://www.ubereats.com/mx-en/store/little-caesars-san-bernabe/VTeCiHNyQpCxZJbJDnZjoA,Ciudad de México,"['Pizza', 'Fast Food', 'American']",4.6,263,$$$,19.3129427,-99.2590321,+525517185812,10300,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'CDMX', 'postalCode': '10300', 'addressCountry': 'MX', 'streetAddress': 'Guerrero 2677, San Bernabé Ocotepec'}","{'@type': 'GeoCoordinates', 'latitude': 19.3129427, 'longitude': -99.2590321}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '263'}"
Dakashi,https://www.ubereats.com/mx-en/store/dakashi/i5ip4m2dS8ayGHszfd91Hw,Ciudad de México,"['Japanese', 'Sushi']",4.3,18,,19.38953,-99.15719,+525519093361,32760,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '13:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '14:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'DF', 'postalCode': '32760', 'addressCountry': 'MX', 'streetAddress': 'Torres Adalid 1402, 4'}","{'@type': 'GeoCoordinates', 'latitude': 19.38953, 'longitude': -99.15719}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '18'}"
Papa Guapa Del Valle,https://www.ubereats.com/mx-en/store/papa-guapa-del-valle/nKR3WiN1TdW1ZjbZkiy7hA,Ciudad de México,['Mexican'],4.6,132,$$,19.3886526,-99.1737878,+525511076337,03100,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '12:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '0:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '12:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '23:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'D.F.', 'postalCode': '03100', 'addressCountry': 'MX', 'streetAddress': 'Eugenia 101, Col del Valle Centro'}","{'@type': 'GeoCoordinates', 'latitude': 19.3886526, 'longitude': -99.1737878}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '132'}"
Mariscos Puerto Escondido,https://www.ubereats.com/mx-en/store/mariscos-puerto-escondido/r2Q-W7fCTyGKk2k3qUiW-w,Ciudad De México,"['Seafood', 'American', 'Southern']",,,$,19.437400839957316,-99.15134243392065,+525581012291,06030,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad De México', 'addressRegion': 'LATAM', 'postalCode': '06030', 'addressCountry': 'MX', 'streetAddress': 'Calle José de Emparán 23'}","{'@type': 'GeoCoordinates', 'latitude': 19.437400839957316, 'longitude': -99.15134243392065}",{}
Freshlab - Churubusco,https://www.ubereats.com/mx-en/store/freshlab-churubusco/DQWgBmq6Uf20_JNyP9S_Wg,Iztapalapa,"['Healthy', 'Breakfast and Brunch', 'Juice and Smoothies', 'Soup', 'Affordable Meals']",4.8,49,$,19.359061073625472,-99.13630162295763,+34648198437,09480,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '7:0', 'closes': '22:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '23:50'}]","{'@type': 'PostalAddress', 'addressLocality': 'Iztapalapa', 'addressRegion': 'DF', 'postalCode': '09480', 'addressCountry': 'MX', 'streetAddress': 'Sur 69A 101'}","{'@type': 'GeoCoordinates', 'latitude': 19.359061073625472, 'longitude': -99.13630162295763}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '49'}"
Antojitos Sarita (La Malinche),https://www.ubereats.com/mx-en/store/antojitos-sarita-la-malinche/UBYaXKzLQCagrzZ4KJOUow,Mexico City,"['Mexican', 'Latin American', 'New Mexican']",,,$,19.32391,-99.245544,+525548091986,10010,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': '', 'postalCode': '10010', 'addressCountry': 'MX', 'streetAddress': 'Av. Luis Cabrera 8'}","{'@type': 'GeoCoordinates', 'latitude': 19.32391, 'longitude': -99.245544}",{}
El Globo CC Santa Fe,https://www.ubereats.com/mx-en/store/el-globo-cc-santa-fe/ZPYnSdcsSdiK6pOY_aKThQ,Ciudad de México,"['Cakes', 'Bakery', 'Breakfast and Brunch', 'Coffee and Tea', 'Desserts']",4.8,220,$$$,19.3608229,-99.274356,+525541415859,05348,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '8:45', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '9:1', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'CDMX', 'postalCode': '05348', 'addressCountry': 'MX', 'streetAddress': 'Centro Comercial Santa Fe'}","{'@type': 'GeoCoordinates', 'latitude': 19.3608229, 'longitude': -99.274356}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '220'}"
